Mouse Cage ,Mouse Number,Tag,Strain,Diet,Week,PercBWincrease,BW_Average,Food_Mass,Food_Avg,Ingest_bymouse,Glucose,Trig,NEFA,BCAA,Insulin
6,18,LE,C57BL/6J,Mediterranean,1,27.3,30.8875,106.1,26.6875,0.139652015,,,,,
6,19,RLE,C57BL/6J,Mediterranean,1,34.6,30.8875,106.1,26.6875,0.110187861,,,,,
7,20,NT,C57BL/6J,Mediterranean,1,31.4,30.8875,107.4,26.6875,0.121417197,,,,,
7,21,RE,C57BL/6J,Mediterranean,1,31.3,30.8875,107.4,26.6875,0.121805112,,,,,
7,22,LE,C57BL/6J,Mediterranean,1,30.2,30.8875,107.4,26.6875,0.126241722,,,,,
7,23,RLE,C57BL/6J,Mediterranean,1,32.1,30.8875,107.4,26.6875,0.11876947,,,,,
8,24,NT,C57BL/6J,Vegetarian,1,NA,NA,NA,NA,NA,,,,,
8,25,RE,C57BL/6J,Vegetarian,1,29.7,28.75,49.9,23.2833333,0.111992945,,,,,
8,26,LE,C57BL/6J,Vegetarian,1,30.3,28.75,49.9,23.2833333,0.109775263,,,,,
9,27,NT,C57BL/6J,Vegetarian,1,27.8,28.75,65.8,23.2833333,0.119647139,,,,,
9,28,RE,C57BL/6J,Vegetarian,1,28.8,28.75,65.8,23.2833333,0.115492725,,,,,
9,29,LE,C57BL/6J,Vegetarian,1,27.6,28.75,65.8,23.2833333,0.120514148,,,,,
10,30,NT,C57BL/6J,Vegetarian,1,28.3,28.75,24,23.2833333,0.117533232,,,,,
11,31,NT,C57BL/6J,Vegan,1,30.7,29.7,103.7,24.75,0.115169846,,,,,
58,32,RE,C57BL/6J,Vegan,1,30.5,29.7,103.7,24.75,0.115925059,,,,,
11,33,LE,C57BL/6J,Vegan,1,32.4,29.7,103.7,24.75,0.109126984,,,,,
11,34,RLE,C57BL/6J,Vegan,1,30.2,29.7,103.7,24.75,0.117076632,,,,,
12,35,NT,C57BL/6J,Vegan,1,28.8,29.7,94.3,24.75,0.122767857,,,,,
12,36,RE,C57BL/6J,Vegan,1,29.6,29.7,94.3,24.75,0.119449807,,,,,
12,37,LE,C57BL/6J,Vegan,1,27.1,29.7,94.3,24.75,0.130469162,,,,,
12,38,RLE,C57BL/6J,Vegan,1,28.3,29.7,94.3,24.75,0.124936901,,,,,
13,39,NT,A/J,Chow,1,28.8,26.7,NA,24.1666667,0.119874339,,,,,
13,40,RE,A/J,Chow,1,27.9,26.7,NA,24.1666667,0.123741253,,,,,
13,41,LE,A/J,Chow,1,27.8,26.7,NA,24.1666667,0.124186365,,,,,
13,42,RLE,A/J,Chow,1,26.6,26.7,NA,24.1666667,0.129788758,,,,,
14,43,NT,A/J,Chow,1,24.3,26.7,72.5,24.1666667,0.14207329,,,,,
14,44,RE,A/J,Chow,1,NA,NA,NA,NA,NA,,,,,
14,45,LE,A/J,Chow,1,23,26.7,72.5,24.1666667,0.15010352,,,,,
14,46,RLE,A/J,Chow,1,28.5,26.7,72.5,24.1666667,0.121136174,,,,,
15,47,NT,A/J,American,1,28.2,29.425,99.9,24.65,0.124873354,,,,,
15,48,RE,A/J,American,1,29.5,29.425,99.9,24.65,0.11937046,,,,,
15,49,LE,A/J,American,1,32.5,29.425,99.9,24.65,0.108351648,,,,,
15,50,RLE,A/J,American,1,26.6,29.425,99.9,24.65,0.132384533,,,,,
16,51,NT,A/J,American,1,28.2,29.425,97.3,24.65,0.124873354,,,,,
16,52,RE,A/J,American,1,31.2,29.425,97.3,24.65,0.1128663,,,,,
16,53,LE,A/J,American,1,28.4,29.425,97.3,24.65,0.123993964,,,,,
16,54,RLE,A/J,American,1,30.8,29.425,97.3,24.65,0.114332096,,,,,
